"","algorithm","replicate","instance","group","result"
"57",2,25,30,2,484684.642290085
"58",2,2,123,5,8380955.1013246
"59",1,10,111,4,7346917.5242485
"60",1,4,27,1,682496.741756636
"61",1,23,95,4,5081504.26182205
"62",2,28,115,4,8532028.98068886
"63",1,1,88,3,5898191.71397089
"64",2,25,96,4,6815571.49476117
"65",1,27,132,5,10013468.0482972
"66",1,17,127,5,8438558.64511425
"67",2,20,96,4,5919567.27893675
"68",1,25,3,1,1.05439796236604
"69",1,20,44,2,2608627.80529482
"70",2,11,77,3,5047775.10216936
"71",2,4,140,5,10906364.8953364
"72",2,20,55,2,3009245.5621975
"73",1,11,123,5,8828439.56430494
"74",2,3,73,3,5002378.99265639
"75",2,3,81,3,4954283.98186258
"76",2,13,42,2,1253179.57675282
"77",2,10,114,4,8266249.8346986
"78",1,9,29,1,841471.45391502
"79",1,27,50,2,2911021.87199625
"80",1,16,113,4,8122163.12798741
"81",1,10,32,2,837315.197470955
"82",2,6,55,2,3678498.46371927
"83",1,25,116,4,8146650.34878684
"84",2,2,148,5,11171781.4378351
"85",1,10,127,5,8981430.26595011
"86",2,27,147,5,12032525.8282949
"87",1,29,35,2,1456297.0829065
"88",1,19,95,4,5878211.11055188
"89",2,18,36,2,705637.154316007
"90",2,28,21,1,25084.414654631
"91",2,9,120,5,8835158.76665824
"92",1,24,16,1,220423.237290396
"93",1,6,24,1,697388.684217165
"94",1,22,126,5,8173868.69586893
"95",2,29,11,1,25.5851686105461
"96",1,28,143,5,11204614.8385876
"97",1,8,33,2,1174628.10908638
"98",2,24,44,2,797270.736307053
"99",1,16,97,4,6400455.12295582
"100",2,6,63,3,2045560.57569518
"101",1,26,52,2,2697619.64733085
"102",2,22,51,2,1181766.3490353
"103",2,27,131,5,9345566.85559872
"104",2,30,49,2,2130231.07381099
"105",1,3,30,2,803733.541480527
"106",2,20,79,3,4737855.14258964
"107",1,1,52,2,2907645.44138716
"108",1,26,94,4,6873484.89313308
"109",1,28,50,2,3185740.24601609
"110",2,26,53,2,2632206.88366724
"111",1,8,47,2,2324575.11816484
"112",1,12,6,1,122.943489638322
"113",1,24,101,4,6648400.26019216
"114",2,1,72,3,5128098.30451048
"115",1,20,58,2,3085290.48166408
"116",1,5,6,1,315.904921620847
"117",2,10,69,3,4247921.42779503
"118",2,24,76,3,4991385.14516141
"119",2,1,4,1,6.15907615881774e-12
"120",2,13,48,2,1110424.81725103
"121",1,25,112,4,6629796.87015116
"122",1,26,114,4,7956065.81418149
"123",1,5,4,1,4.79566190206943
"124",2,26,19,1,25965.1366423796
"125",2,10,132,5,10668932.6544461
"126",1,3,13,1,106579.518823049
"127",2,11,43,2,900861.804180038
"128",2,18,54,2,3267831.78611452
"129",2,11,119,4,6921756.42142843
"130",2,19,18,1,21410.6775742079
"131",1,4,58,2,3092588.8405095
"132",2,6,68,3,2330925.30079772
"133",2,28,88,3,5965342.07380982
"134",1,12,76,3,3483597.47641055
"135",1,4,84,3,6410690.63775946
"136",1,25,69,3,2646536.64855193
"137",2,5,75,3,4209644.48913937
"138",2,20,99,4,7046492.81467794
"139",1,29,11,1,79850.3163846238
"140",2,3,50,2,2707457.66675997
"141",1,14,88,3,5373130.85091707
"142",1,3,82,3,4655821.62615086
"143",1,21,107,4,7546970.46425107
"144",2,23,6,1,4.64787209379322e-07
"145",1,17,131,5,8515941.80030524
"146",1,30,104,4,6769460.4118476
"147",2,22,79,3,4404187.85735711
"148",1,3,114,4,8310783.49444588
"149",1,22,82,3,5655600.84695491
"150",2,9,108,4,7611349.6570815
"151",2,27,72,3,4843718.32086587
"152",2,19,103,4,8150618.36390356
"153",2,5,134,5,9722908.22085098
"154",2,13,8,1,4.31405257101206
"155",1,28,111,4,8112513.06961295
"156",2,10,30,2,146953.380493012
"157",1,28,55,2,2838113.02703587
"158",1,24,124,5,9591475.63438701
"159",2,28,40,2,878597.710198768
"160",2,20,12,1,313.89825171284
"161",2,7,55,2,2973338.99884808
"162",1,1,124,5,8825960.81837101
"163",2,6,104,4,5868205.19526948
"164",2,17,130,5,10001486.5375176
"165",1,22,129,5,9632748.66213903
"166",2,23,34,2,280084.696321908
"167",1,9,35,2,1423498.43090574
"168",1,29,44,2,2427264.16904106
"169",1,18,128,5,9162437.59509963
"170",1,21,56,2,3342783.10460233
"171",2,28,144,5,11592894.0299011
"172",2,15,16,1,1648.29022107145
"173",2,7,28,1,228165.526651205
"174",1,4,107,4,7460140.20500398
"175",1,5,32,2,993399.878683143
"176",1,20,142,5,11464201.5949462
"177",1,10,18,1,194943.092227559
"178",1,2,18,1,166116.240251229
"179",1,30,84,3,4104483.16305642
"180",1,1,144,5,11831739.2468665
"181",2,25,55,2,3346274.60375951
"182",2,16,115,4,8439372.80834405
"183",1,10,45,2,1891784.29622415
"184",2,19,98,4,4798439.25662182
"185",2,22,118,4,9664812.56471127
"186",1,18,145,5,10657652.7933302
"187",2,12,14,1,2747.64321882156
"188",2,2,107,4,8347071.92872397
"189",1,10,131,5,10009071.7464635
"190",2,22,31,2,220554.691913963
"191",2,19,113,4,7747868.34899687
"192",2,12,106,4,6421699.87425481
"193",2,4,96,4,6427151.20038007
"194",2,11,78,3,4640029.93816789
"195",2,19,145,5,11579176.1996452
"196",1,23,117,4,7964119.17149358
"197",1,10,14,1,92161.4257445199
"198",2,19,82,3,4876231.01198265
"199",2,12,31,2,318116.270416368
"200",2,17,9,1,3.96355823010318
"201",2,28,145,5,10617129.8753693
"202",1,28,103,4,7465765.84702787
"203",1,4,39,2,1938752.90066692
"204",1,16,50,2,3121266.4790445
"205",2,20,40,2,637613.979120044
"206",1,2,131,5,10629047.5377531
"207",1,20,120,5,8747873.44712022
"208",2,19,125,5,9547681.79722307
"209",2,30,137,5,10100777.5445066
"210",2,21,86,3,5954043.63576244
"211",2,6,124,5,8915225.15034527
"212",1,20,115,4,7503608.91518418
"213",1,19,125,5,8597328.25562166
"214",2,20,144,5,10972409.5173516
"215",2,7,126,5,8763280.87653532
"216",2,3,71,3,4463677.15957412
"217",2,7,110,4,7671313.07454962
"218",1,27,150,6,11444348.8465999
"219",1,13,57,2,3343979.56302301
"220",1,10,120,5,7888847.1733553
"221",2,11,68,3,3245767.8918077
"222",1,18,134,5,10770886.0651061
"223",2,21,70,3,3973645.2414867
"224",2,5,73,3,4638185.83466926
"225",1,30,143,5,10716824.9693311
"226",2,16,122,5,8481000.67090648
"227",2,30,103,4,5683859.44931205
"228",1,24,109,4,8562698.77143601
"229",2,7,109,4,7731183.3307088
"230",2,19,128,5,9967782.27363411
"231",1,3,125,5,7620453.29475296
"232",1,2,3,1,1.03628471393638
"233",1,10,113,4,8425339.05900665
"234",2,9,51,2,1564417.7162197
"235",1,22,27,1,699701.829537099
"236",2,25,13,1,780.710242734093
"237",1,16,146,5,11803700.8614314
"238",2,11,74,3,4235559.02375675
"239",2,14,49,2,1056342.35984166
"240",2,5,93,4,6386743.31767478
"241",1,8,14,1,121994.082235664
"242",2,24,129,5,9254149.58217119
"243",1,21,132,5,9206336.52478409
"244",1,13,86,3,5134893.66660356
"245",1,24,61,3,4054954.48575913
"246",1,3,64,3,3468905.27699271
"247",2,7,123,5,7689616.08191297
"248",2,9,102,4,6734267.82891371
"249",1,3,38,2,1764892.48371845
"250",2,12,12,1,13.4255021274674
"251",1,3,102,4,7644162.79717022
"252",1,11,27,1,800758.023241977
"253",1,21,117,4,8334531.23191771
"254",2,14,28,1,140602.902291044
"255",1,28,145,5,11062552.0561808
"256",2,3,98,4,7063636.66755829
"257",1,6,23,1,591199.159033378
"258",2,28,9,1,4.69294939052297
"259",2,2,110,4,7828166.45988107
"260",2,27,107,4,7323101.77367143
"261",2,13,109,4,8341261.62758632
"262",2,27,132,5,10227742.3670336
"263",2,29,13,1,763.505617113665
"264",1,16,56,2,3226318.74173933
"265",1,1,13,1,93780.6410105369
"266",2,15,84,3,5620378.74879686
"267",2,17,75,3,4564440.97594916
"268",2,17,78,3,5059096.45969093
"269",2,13,119,4,9184535.33915948
"270",1,27,95,4,7107711.05040662
"271",1,19,42,2,1854308.10317707
"272",1,18,95,4,6942618.64778797
"273",2,30,87,3,4851302.74637742
"274",2,22,23,1,8889.20871509205
"275",2,29,74,3,4762373.57033114
"276",2,16,54,2,3082628.69175971
"277",1,8,69,3,4608501.18996767
"278",1,11,63,3,3948376.51612833
"279",2,23,133,5,11009495.0720429
"280",1,13,21,1,499847.968609878
"281",1,8,73,3,3737778.69000253
"282",2,12,6,1,0.00331739184481024
"283",1,4,59,2,3099290.35293189
"284",1,23,99,4,7751455.23840824
"285",2,16,134,5,9804069.4905879
"286",1,14,111,4,8165759.7594469
"287",2,22,64,3,3589115.820413
"288",2,10,98,4,6335146.62108883
"289",1,8,83,3,5862271.03716118
"290",1,2,111,4,6961757.52630859
"291",1,17,25,1,546304.93965488
"292",2,30,101,4,6721316.90260949
"293",1,6,138,5,10134664.9887627
"294",2,12,79,3,4822702.67508616
"295",1,12,113,4,7566627.48798283
"296",2,19,25,1,156565.189159828
"297",1,24,59,2,2815702.15001187
"298",1,17,74,3,4080958.86863285
"299",1,14,94,4,5903331.79581888
"300",2,26,50,2,1163887.02104945
"301",1,27,66,3,4404056.82871617
"302",2,19,108,4,7764069.31888142
"303",2,23,70,3,3601723.98251215
"304",2,2,20,1,25439.9583472309
"305",2,16,61,3,3979962.47467952
"306",2,18,17,1,2587.44905477661
"307",2,18,58,2,2072196.12077845
"308",1,11,59,2,3343150.38126353
"309",2,10,140,5,10554624.3437225
"310",2,8,66,3,4140788.5731471
"311",1,14,112,4,8417187.62242075
"312",1,7,50,2,2700090.88253708
"313",1,25,57,2,2955672.40808386
"314",2,10,23,1,17713.6551003318
"315",1,19,45,2,1770093.84970734
"316",1,20,101,4,5140709.14346115
"317",2,24,141,5,9830351.25190205
"318",2,16,136,5,-1
"319",1,25,140,5,-1
"320",1,12,77,3,-1
"321",2,5,50,2,-1
"322",1,28,41,2,-1
"323",1,2,29,1,-1
"324",1,20,88,3,-1
"325",2,2,51,2,-1
"326",2,11,42,2,-1
"327",2,17,117,4,-1
"328",2,16,35,2,-1
"329",2,24,69,3,-1
"330",2,4,51,2,-1
"331",1,3,62,3,-1
"332",2,8,29,1,-1
"333",2,8,25,1,-1
"334",2,2,133,5,-1
"335",1,27,74,3,-1
"336",1,17,146,5,-1
"337",2,5,51,2,-1
"338",2,22,98,4,-1
"339",2,26,150,6,-1
"340",1,26,40,2,-1
"341",1,12,130,5,-1
"342",1,14,9,1,-1
"343",2,4,125,5,-1
"344",2,29,47,2,-1
"345",2,19,67,3,-1
"346",2,4,43,2,-1
"347",1,5,71,3,-1
"348",1,22,43,2,-1
"349",1,25,26,1,-1
"350",2,12,48,2,-1
"351",2,24,130,5,-1
"352",2,15,32,2,-1
"353",1,14,49,2,-1
"354",1,16,91,4,-1
"355",2,2,16,1,-1
"356",2,10,74,3,-1
"357",1,28,82,3,-1
"358",1,25,72,3,-1
"359",2,7,130,5,-1
"360",1,17,121,5,-1
"361",2,26,114,4,-1
"362",1,12,62,3,-1
"363",2,3,115,4,-1
"364",1,15,105,4,-1
"365",1,6,59,2,-1
"366",2,28,19,1,-1
"367",1,1,97,4,-1
"368",2,13,87,3,-1
"369",1,13,60,3,-1
"370",2,20,49,2,-1
"371",2,17,40,2,-1
"372",2,9,149,5,-1
"373",2,16,73,3,-1
"374",1,26,32,2,-1
"375",2,15,120,5,-1
"376",2,20,45,2,-1
"377",1,15,19,1,-1
"378",2,8,49,2,-1
"379",2,26,54,2,-1
"380",1,8,128,5,-1
"381",1,16,112,4,-1
"382",2,13,58,2,-1
"383",1,3,61,3,-1
"384",1,12,136,5,-1
"385",1,8,103,4,-1
"386",1,24,105,4,-1
"387",1,21,91,4,-1
"388",1,19,5,1,-1
"389",2,5,100,4,-1
"390",2,10,60,3,-1
"391",2,5,92,4,-1
"392",2,4,85,3,-1
"393",2,9,86,3,-1
"394",1,15,110,4,-1
"395",1,17,126,5,-1
"396",1,27,40,2,-1
"397",2,10,5,1,-1
"398",1,11,20,1,-1
"399",1,5,83,3,-1
"400",2,8,85,3,-1
"401",2,12,148,5,-1
"402",1,5,50,2,-1
"403",2,13,70,3,-1
"404",1,12,29,1,-1
"405",1,9,147,5,-1
"406",1,18,77,3,-1
"407",1,18,143,5,-1
"408",1,14,93,4,-1
"409",2,14,137,5,-1
"410",1,26,5,1,-1
"411",2,6,106,4,-1
"412",2,6,108,4,-1
"413",1,19,76,3,-1
"414",2,18,45,2,-1
"415",2,3,75,3,-1
"416",1,15,134,5,-1
"417",1,11,93,4,-1
"418",2,30,72,3,-1
"419",2,16,79,3,-1
"420",1,5,31,2,-1
"421",1,3,19,1,-1
"422",2,9,27,1,-1
"423",1,7,118,4,-1
"424",1,4,127,5,-1
"425",1,12,31,2,-1
"426",1,4,130,5,-1
"427",1,20,95,4,-1
"428",1,22,93,4,-1
"429",1,22,92,4,-1
"430",1,8,126,5,-1
"431",2,12,72,3,-1
"432",2,5,89,3,-1
"433",1,30,150,6,-1
"434",2,18,68,3,-1
"435",1,28,102,4,-1
"436",2,9,140,5,-1
"437",1,7,16,1,-1
"438",2,20,122,5,-1
"439",1,6,45,2,-1
"440",2,22,40,2,-1
"441",1,10,147,5,-1
"442",2,10,54,2,-1
"443",1,12,119,4,-1
"444",2,14,54,2,-1
"445",1,27,11,1,-1
"446",2,24,63,3,-1
"447",1,15,133,5,-1
"448",2,4,80,3,-1
"449",2,19,34,2,-1
"450",2,22,147,5,-1
"451",1,24,25,1,-1
"452",1,10,146,5,-1
"453",1,19,83,3,-1
"454",1,24,120,5,-1
"455",1,11,101,4,-1
"456",2,1,12,1,-1
"457",1,26,38,2,-1
"458",1,8,111,4,-1
"459",2,4,70,3,-1
"460",1,15,102,4,-1
"461",2,5,25,1,-1
"462",2,27,11,1,-1
"463",2,23,114,4,-1
"464",1,29,36,2,-1
"465",1,27,42,2,-1
"466",1,10,61,3,-1
"467",1,13,91,4,-1
"468",1,20,31,2,-1
"469",1,4,50,2,-1
"470",1,13,117,4,-1
"471",2,11,59,2,-1
"472",1,4,122,5,-1
"473",2,29,19,1,-1
"474",1,15,111,4,-1
"475",1,12,17,1,-1
"476",2,16,116,4,-1
"477",1,30,7,1,-1
"478",2,22,17,1,-1
"479",1,23,5,1,-1
"480",1,1,48,2,-1
"481",2,10,76,3,-1
"482",1,26,8,1,-1
"483",2,18,146,5,-1
"484",2,17,17,1,-1
"485",1,7,72,3,-1
"486",1,9,85,3,-1
"487",2,14,135,5,-1
"488",2,21,67,3,-1
"489",1,20,49,2,-1
"490",2,22,101,4,-1
"491",2,2,124,5,-1
"492",1,22,30,2,-1
"493",1,23,89,3,-1
"494",1,23,70,3,-1
"495",1,19,122,5,-1
"496",1,14,97,4,-1
"497",2,16,112,4,-1
"498",2,22,88,3,-1
"499",2,11,31,2,-1
"500",2,10,86,3,-1
"501",2,24,106,4,-1
"502",2,2,131,5,-1
"503",2,24,110,4,-1
"504",2,29,141,5,-1
"505",1,13,137,5,-1
"506",1,14,109,4,-1
"507",1,16,18,1,-1
"508",1,5,108,4,-1
"509",1,23,69,3,-1
"510",2,7,61,3,-1
"511",2,22,20,1,-1
"512",2,10,47,2,-1
"513",1,28,124,5,-1
"514",1,9,124,5,-1
"515",1,24,6,1,-1
"516",2,28,134,5,-1
"517",2,15,111,4,-1
"518",2,28,44,2,-1
"519",2,1,79,3,-1
"520",1,25,15,1,-1
"521",2,20,117,4,-1
"522",1,25,120,5,-1
"523",1,30,119,4,-1
"524",2,24,8,1,-1
"525",1,14,113,4,-1
"526",2,15,125,5,-1
"527",2,14,24,1,-1
"528",1,11,40,2,-1
"529",1,1,20,1,-1
"530",2,5,116,4,-1
"531",2,6,119,4,-1
"532",2,18,97,4,-1
"533",1,28,129,5,-1
"534",1,22,40,2,-1
"535",2,29,133,5,-1
"536",2,13,149,5,-1
"537",1,6,92,4,-1
"538",2,28,26,1,-1
"539",1,29,129,5,-1
"540",2,1,55,2,-1
"541",1,28,142,5,-1
"542",1,27,75,3,-1
"543",2,14,70,3,-1
"544",1,30,63,3,-1
"545",1,26,57,2,-1
"546",1,2,42,2,-1
"547",1,25,25,1,-1
"548",2,20,10,1,-1
"549",2,8,106,4,-1
"550",1,8,132,5,-1
"551",1,18,70,3,-1
"552",1,13,141,5,-1
"553",1,20,116,4,-1
"554",2,22,93,4,-1
"555",1,30,24,1,-1
"556",2,8,47,2,-1
"557",2,27,141,5,-1
"558",2,9,50,2,-1
"559",2,17,145,5,-1
"560",2,26,65,3,-1
"561",1,30,117,4,-1
"562",2,12,19,1,-1
"563",2,30,113,4,-1
"564",1,10,128,5,-1
"565",1,18,30,2,-1
"566",1,24,34,2,-1
"567",1,4,63,3,-1
"568",2,3,5,1,-1
"569",2,21,33,2,-1
"570",2,4,113,4,-1
"571",2,4,94,4,-1
"572",1,23,118,4,-1
"573",1,29,32,2,-1
"574",1,7,122,5,-1
"575",2,30,150,6,-1
"576",1,22,99,4,-1
"577",2,23,56,2,-1
"578",2,25,11,1,-1
"579",1,14,58,2,-1
"580",2,28,90,4,-1
"581",2,1,88,3,-1
"582",1,10,58,2,-1
"583",2,22,10,1,-1
"584",2,9,77,3,-1
"585",1,15,44,2,-1
"586",1,17,82,3,-1
"587",1,10,103,4,-1
"588",1,15,54,2,-1
"589",2,25,129,5,-1
"590",2,26,14,1,-1
"591",1,24,31,2,-1
"592",1,19,58,2,-1
"593",2,17,102,4,-1
"594",1,22,17,1,-1
"595",2,21,41,2,-1
"596",2,11,145,5,-1
"597",1,18,51,2,-1
"598",1,30,29,1,-1
"599",1,11,38,2,-1
"600",1,11,111,4,-1
"601",1,25,100,4,-1
"602",1,6,118,4,-1
"603",1,9,80,3,-1
"604",1,1,80,3,-1
"605",1,17,93,4,-1
"606",2,9,76,3,-1
"607",2,10,71,3,-1
"608",1,30,23,1,-1
"609",2,3,89,3,-1
"610",1,18,73,3,-1
"611",2,6,70,3,-1
"612",1,8,79,3,-1
"613",2,16,148,5,-1
"614",2,25,71,3,-1
"615",1,28,135,5,-1
"616",2,18,76,3,-1
"617",2,3,72,3,-1
"618",1,5,61,3,-1
"619",2,19,144,5,-1
"620",1,19,145,5,-1
"621",1,23,130,5,-1
"622",1,4,14,1,-1
"623",2,27,87,3,-1
"624",2,25,73,3,-1
"625",2,10,17,1,-1
"626",1,29,136,5,-1
"627",1,25,45,2,-1
"628",1,28,31,2,-1
"629",1,11,82,3,-1
"630",2,28,130,5,-1
"631",1,4,15,1,-1
"632",1,3,26,1,-1
"633",2,12,20,1,-1
"634",1,28,3,1,-1
"635",2,2,31,2,-1
"636",1,9,150,6,-1
"637",1,11,72,3,-1
"638",2,26,95,4,-1
"639",2,30,95,4,-1
"640",2,6,86,3,-1
"641",1,18,10,1,-1
"642",2,14,20,1,-1
"643",1,14,73,3,-1
"644",2,2,97,4,-1
"645",2,9,40,2,-1
"646",1,17,140,5,-1
"647",2,18,139,5,-1
"648",1,29,55,2,-1
"649",1,18,141,5,-1
"650",2,10,3,1,-1
"651",2,8,92,4,-1
"652",2,21,80,3,-1
"653",1,18,102,4,-1
"654",1,10,63,3,-1
"655",2,18,65,3,-1
"656",2,1,32,2,-1
"657",1,30,94,4,-1
"658",2,9,146,5,-1
"659",1,24,115,4,-1
"660",2,14,47,2,-1
"661",2,7,4,1,-1
"662",2,4,130,5,-1
"663",1,10,133,5,-1
"664",1,1,77,3,-1
"665",1,26,105,4,-1
"666",2,20,84,3,-1
"667",1,20,100,4,-1
"668",2,10,104,4,-1
"669",1,17,108,4,-1
"670",2,2,128,5,-1
"671",2,7,88,3,-1
"672",1,22,148,5,-1
"673",1,16,37,2,-1
"674",2,26,122,5,-1
"675",2,16,110,4,-1
"676",1,16,128,5,-1
"677",2,25,79,3,-1
"678",2,14,90,4,-1
"679",1,25,114,4,-1
"680",1,22,19,1,-1
"681",1,12,60,3,-1
"682",2,11,60,3,-1
"683",2,21,102,4,-1
"684",1,29,68,3,-1
"685",2,2,63,3,-1
"686",2,16,70,3,-1
"687",2,21,52,2,-1
"688",1,24,141,5,-1
"689",2,6,87,3,-1
"690",1,5,38,2,-1
"691",1,24,38,2,-1
"692",1,1,86,3,-1
"693",2,8,72,3,-1
"694",2,16,84,3,-1
"695",1,7,140,5,-1
"696",1,14,56,2,-1
"697",1,11,128,5,-1
"698",1,6,38,2,-1
"699",1,1,8,1,-1
"700",2,25,70,3,-1
"701",2,23,108,4,-1
"702",2,28,54,2,-1
"703",1,19,51,2,-1
"704",1,14,41,2,-1
"705",1,18,78,3,-1
"706",2,21,50,2,-1
"707",1,16,32,2,-1
"708",2,14,145,5,-1
"709",2,20,20,1,-1
"710",2,8,148,5,-1
"711",2,2,112,4,-1
"712",1,9,24,1,-1
"713",2,4,134,5,-1
"714",1,29,13,1,-1
"715",2,23,15,1,-1
"716",1,2,46,2,-1
"717",2,26,61,3,-1
"718",2,25,72,3,-1
"719",1,17,69,3,-1
"720",1,24,64,3,-1
"721",1,23,127,5,-1
"722",2,20,37,2,-1
"723",2,17,36,2,-1
"724",1,17,138,5,-1
"725",1,16,80,3,-1
"726",1,5,146,5,-1
"727",2,25,138,5,-1
"728",2,25,95,4,-1
"729",1,8,21,1,-1
"730",2,23,8,1,-1
"731",2,11,150,6,-1
"732",2,1,147,5,-1
"733",1,29,20,1,-1
"734",2,14,48,2,-1
"735",2,5,104,4,-1
"736",1,6,4,1,-1
"737",2,16,24,1,-1
"738",2,9,101,4,-1
"739",1,15,142,5,-1
"740",2,14,101,4,-1
"741",1,6,43,2,-1
"742",1,13,82,3,-1
"743",2,30,104,4,-1
"744",1,14,89,3,-1
"745",1,15,42,2,-1
"746",1,29,122,5,-1
"747",1,3,111,4,-1
"748",1,26,89,3,-1
"749",2,16,18,1,-1
"750",1,19,69,3,-1
"751",2,18,7,1,-1
"752",1,8,142,5,-1
"753",1,27,62,3,-1
"754",2,11,142,5,-1
"755",2,6,137,5,-1
"756",1,18,16,1,-1
"757",1,3,31,2,-1
"758",2,26,75,3,-1
"759",2,13,122,5,-1
"760",2,26,97,4,-1
"761",2,21,137,5,-1
"762",1,30,70,3,-1
"763",2,8,125,5,-1
"764",2,20,31,2,-1
"765",2,1,19,1,-1
"766",1,5,51,2,-1
"767",2,21,107,4,-1
"768",2,12,100,4,-1
"769",1,23,39,2,-1
"770",2,14,5,1,-1
"771",2,2,7,1,-1
"772",1,4,11,1,-1
"773",2,23,82,3,-1
"774",1,22,67,3,-1
"775",2,5,96,4,-1
"776",1,18,28,1,-1
"777",1,10,142,5,-1
"778",1,22,149,5,-1
"779",2,26,129,5,-1
"780",1,8,16,1,-1
"781",1,3,57,2,-1
"782",2,20,54,2,-1
"783",1,5,144,5,-1
"784",1,25,113,4,-1
"785",2,22,19,1,-1
"786",2,26,109,4,-1
"787",1,28,86,3,-1
"788",1,11,57,2,-1
"789",1,26,12,1,-1
"790",1,6,103,4,-1
"791",2,25,29,1,-1
"792",2,26,58,2,-1
"793",2,17,52,2,-1
"794",2,8,24,1,-1
"795",1,10,23,1,-1
"796",1,28,20,1,-1
"797",1,20,67,3,-1
"798",2,19,105,4,-1
"799",2,13,110,4,-1
"800",1,22,46,2,-1
"801",1,7,17,1,-1
"802",2,11,93,4,-1
"803",1,5,36,2,-1
"804",1,24,46,2,-1
"805",1,25,18,1,-1
"806",2,11,116,4,-1
"807",2,20,14,1,-1
"808",1,7,119,4,-1
"809",1,9,56,2,-1
"810",2,9,144,5,-1
"811",1,11,143,5,-1
"812",2,14,75,3,-1
"813",1,10,96,4,-1
"814",2,29,14,1,-1
"815",1,27,31,2,-1
"816",1,22,112,4,-1
"817",2,4,102,4,-1
"818",1,27,16,1,-1
"819",1,25,16,1,-1
"820",2,3,43,2,-1
"821",1,16,96,4,-1
"822",2,18,101,4,-1
"823",1,14,138,5,-1
"824",2,24,119,4,-1
"825",1,25,50,2,-1
"826",1,27,116,4,-1
"827",1,4,119,4,-1
"828",1,8,11,1,-1
"829",2,6,69,3,-1
"830",2,23,12,1,-1
"831",2,17,150,6,-1
"832",1,21,4,1,-1
"833",2,14,130,5,-1
"834",2,3,25,1,-1
"835",2,19,8,1,-1
"836",2,18,70,3,-1
"837",2,24,86,3,-1
"838",1,22,38,2,-1
"839",1,2,143,5,-1
"840",2,14,63,3,-1
"841",1,12,75,3,-1
"842",1,12,110,4,-1
"843",1,30,86,3,-1
"844",1,6,75,3,-1
"845",1,4,24,1,-1
"846",1,21,81,3,-1
"847",1,6,40,2,-1
"848",2,15,89,3,-1
"849",2,19,14,1,-1
"850",2,13,18,1,-1
"851",2,24,74,3,-1
"852",1,16,81,3,-1
"853",1,18,129,5,-1
"854",2,8,65,3,-1
"855",2,15,8,1,-1
"856",1,27,144,5,-1
"857",2,10,31,2,-1
"858",2,13,54,2,-1
"859",1,24,36,2,-1
"860",1,11,103,4,-1
"861",2,27,128,5,-1
"862",2,12,138,5,-1
"863",1,18,89,3,-1
"864",1,22,50,2,-1
"865",1,7,51,2,-1
"866",1,9,141,5,-1
"867",1,6,85,3,-1
"868",1,5,149,5,-1
"869",2,3,51,2,-1
"870",1,8,37,2,-1
"871",1,10,35,2,-1
"872",2,8,58,2,-1
"873",2,17,37,2,-1
"874",2,15,21,1,-1
"875",2,24,111,4,-1
"876",1,19,48,2,-1
"877",1,21,138,5,-1
"878",2,2,77,3,-1
"879",1,24,19,1,-1
"880",1,24,30,2,-1
"881",1,13,49,2,-1
"882",2,24,38,2,-1
"883",1,27,120,5,-1
"884",2,27,108,4,-1
"885",1,22,146,5,-1
"886",2,7,93,4,-1
